2026-06-01,,,"Snow;Overcast"
2026-06-02,,,"Frost;Snow;Overcast"
2026-06-03,,2,"Frost;Sunny;Overcast"
2026-06-04,,5,"Frost;Sunny;Overcast"
2026-06-05,,,"Snow;Rain;Overcast"
2026-06-06,,,"Ice;Overcast"
2026-06-07,,,"Windy;Rain;Overcast"
2026-06-08,,,"Windy;Rain;Overcast"
2026-06-09,,," "
2026-06-10,,,"Overcast"
2026-06-11,,,"Rain;Overcast"
2026-06-12,,,"Sunny;Overcast"
2026-06-13,,,"Frost;Rain;Overcast"
2026-06-14,,,"Overcast"
2026-06-15,,,"Rain;Overcast"
2026-06-16,,,"Rain;Overcast;Sunny"
2026-06-17,,,"Overcast"
2026-06-18,7.2,9.6,"Rain;Overcast"
2026-06-19,,,"Rain;Overcast"
2026-06-20,,,"Rain;Overcast"
2026-06-21,,,"Rain;Overcast"
2026-06-22,,,"Rain;Overcast"
2026-06-23,,,"Rain;Overcast"
2026-06-24,,,"Rain;Overcast"
2026-06-25,,,"Rain;Overcast"
2026-06-26,,,"Rain;Overcast"
2026-06-27,,,"Rain;Overcast"
2026-06-28,,,"Overcast"
2026-06-29,,,"Rain;Overcast"
2026-06-30,,,"Rain;Overcast;Sunny"
