2026-01-01, 0.9,5.3,snow;overcast
2026-01-02,0.5,3.1,frost;snow;overcast
2026-01-03,-1.8,2.2,frost;sunny;overcast
2026-01-04-3.2,1.5,frost;sunny;overcast
2026-01-05,-3.1,4.1,snow;rain;overcast
2026-01-06,1.4,4.1,ice;overcast
2026-01-07,3.1,6.5,windy;rain;overcast
2026-01-08,1.2,4.9,windy;rain;overcast
2026-01-09, , ,
2026-01-10,-0.2,2.9,overcast
2026-01-11,1.5,9.9,rain;overcast
2026-01-12,8.1,10.9,sunny;overcast
2026-01-13,2.2,10.2,frost;rain;overcast
2026-01-14,1.5,8.8,overcast
2026-01-15,5.3,9.2,rain;overcast
2026-01-16,5.2,8.3,rain;overcast,sunny
2026-01-17,7.2,9.8,overcast
2026-01-18,7.2,9.6,rain;overcast
2026-01-19,8.2,10.2,rain;overcast
2026-01-20,5.8,9.3,rain;overcast
2026-01-21,6.2,9.4,rain;overcast
2026-01-22,6.2,9.9,rain;overcast
2026-01-23,6.8,8.9,rain;overcast
2026-01-24,6.4,9.4,rain;overcast
2026-01-25,6.1,8.6,rain;overcast
2026-01-26,6.0,7.4,rain;overcast
2026-01-27,4.1,9.5,rain;overcast
2026-01-28,2.3,7.7,overcast
2026-01-29,2.9,6.6,rain;overcast
2026-01-30,5.6,9.5,rain;overcast;sunny
2026-01-31,5.8,9.4,rain;overcast
